vehicle,stop_code,date,arrival_time,departure_time,passenger_on,passenger_off
Vehicle1,5,07/02/2012,09:28:07,09:29:07,24,0
Vehicle2,1,07/02/2012,09:28:33,09:29:33,0,1
Vehicle1,5,07/02/2012,09:29:08,09:30:08,1,0
Vehicle1,5,07/02/2012,09:30:09,09:31:09,1,0
Vehicle1,5,07/02/2012,09:31:10,09:32:10,0,0
Vehicle2,2,07/02/2012,09:32:16,09:33:16,11,1
Vehicle2,2,07/02/2012,09:33:17,09:34:17,0,1
Vehicle1,6,07/02/2012,09:35:03,09:36:03,19,1
Vehicle2,3,07/02/2012,09:35:34,09:36:34,9,0
Vehicle1,6,07/02/2012,09:36:04,09:37:04,1,1
Vehicle2,3,07/02/2012,09:36:35,09:37:35,1,0
Vehicle1,6,07/02/2012,09:37:05,09:38:05,0,2
Vehicle2,3,07/02/2012,09:37:36,09:38:36,0,1
Vehicle1,6,07/02/2012,09:38:06,09:39:06,0,0
Vehicle1,6,07/02/2012,09:39:07,09:40:07,0,1
Vehicle2,4,07/02/2012,09:40:41,09:41:41,11,0
Vehicle2,4,07/02/2012,09:41:42,09:42:42,0,0
Vehicle2,4,07/02/2012,09:42:43,09:43:43,0,0
Vehicle1,7,07/02/2012,09:44:29,09:45:29,25,2
Vehicle1,7,07/02/2012,09:45:30,09:46:30,1,1
Vehicle1,7,07/02/2012,09:46:31,09:47:31,1,0
Vehicle1,7,07/02/2012,09:47:32,09:48:32,1,2
Vehicle1,7,07/02/2012,09:48:33,09:49:33,1,0
Vehicle2,5,07/02/2012,09:51:26,09:52:26,5,0
Vehicle1,8,07/02/2012,09:53:53,09:54:53,40,0
Vehicle2,6,07/02/2012,09:55:31,09:56:31,9,1
Vehicle1,9,07/02/2012,09:59:03,10:00:03,42,1
Vehicle1,9,07/02/2012,10:00:04,10:01:04,0,0
Vehicle2,7,07/02/2012,10:00:55,10:01:55,8,0
Vehicle1,9,07/02/2012,10:01:05,10:02:05,0,1
Vehicle1,10,07/02/2012,10:05:51,10:06:51,28,0
Vehicle2,8,07/02/2012,10:06:23,10:07:23,5,1
Vehicle1,10,07/02/2012,10:06:52,10:07:52,3,2
Vehicle1,11,07/02/2012,10:11:03,10:12:03,27,0
Vehicle2,9,07/02/2012,10:11:36,10:12:36,5,1
Vehicle1,11,07/02/2012,10:12:04,10:13:04,0,0
Vehicle2,9,07/02/2012,10:12:37,10:13:37,0,0
Vehicle2,9,07/02/2012,10:13:38,10:14:38,0,1
Vehicle2,9,07/02/2012,10:14:39,10:15:39,0,0
Vehicle2,9,07/02/2012,10:15:40,10:16:40,1,1
Vehicle1,11,07/02/2012,10:12:04,10:17:45,0,0
Vehicle1,11,07/02/2012,10:12:04,10:17:46,0,0
Vehicle2,10,07/02/2012,10:20:29,10:21:29,11,0
Vehicle1,11,07/02/2012,10:12:04,10:22:09,0,0
Vehicle1,11,07/02/2012,10:12:04,10:22:10,0,0
Vehicle2,10,07/02/2012,10:21:30,10:22:30,0,1
Vehicle1,1,07/02/2012,10:22:11,10:23:11,14,1
Vehicle2,11,07/02/2012,10:25:46,10:26:46,12,0
Vehicle1,2,07/02/2012,10:26:02,10:27:02,29,1
Vehicle2,11,07/02/2012,10:26:47,10:27:47,1,1
Vehicle1,2,07/02/2012,10:27:03,10:28:03,1,0
Vehicle1,2,07/02/2012,10:28:04,10:29:04,0,0
Vehicle1,3,07/02/2012,10:30:32,10:31:32,27,0
Vehicle2,11,07/02/2012,10:26:47,10:32:34,1,1
Vehicle2,11,07/02/2012,10:26:47,10:32:35,1,1
Vehicle1,4,07/02/2012,10:33:40,10:34:40,26,0
Vehicle2,11,07/02/2012,10:26:47,10:36:59,1,1
Vehicle2,11,07/02/2012,10:26:47,10:37:00,1,1
Vehicle2,1,07/02/2012,10:37:01,10:38:01,9,0
Vehicle2,1,07/02/2012,10:38:02,10:39:02,0,0
Vehicle2,1,07/02/2012,10:39:03,10:40:03,1,0
Vehicle2,1,07/02/2012,10:40:04,10:41:04,0,1
Vehicle2,1,07/02/2012,10:41:05,10:42:05,0,0
Vehicle1,5,07/02/2012,10:42:54,10:43:54,32,2
Vehicle1,5,07/02/2012,10:43:55,10:44:55,1,0
Vehicle2,2,07/02/2012,10:44:52,10:45:52,7,0
Vehicle2,3,07/02/2012,10:47:20,10:48:20,5,2
Vehicle1,6,07/02/2012,10:48:08,10:49:08,21,1
Vehicle2,4,07/02/2012,10:50:22,10:51:22,11,0
Vehicle2,4,07/02/2012,10:51:23,10:52:23,0,1
Vehicle2,4,07/02/2012,10:52:24,10:53:24,0,0
Vehicle2,4,07/02/2012,10:53:25,10:54:25,0,0
Vehicle1,7,07/02/2012,10:53:43,10:54:43,26,0
Vehicle1,7,07/02/2012,10:54:44,10:55:44,0,1
Vehicle1,8,07/02/2012,11:00:16,11:01:16,25,0
Vehicle1,8,07/02/2012,11:01:17,11:02:17,0,0
Vehicle1,8,07/02/2012,11:02:18,11:03:18,0,1
Vehicle2,5,07/02/2012,11:02:35,11:03:35,14,0
Vehicle1,8,07/02/2012,11:03:19,11:04:19,1,1
Vehicle2,5,07/02/2012,11:03:36,11:04:36,0,0
Vehicle1,8,07/02/2012,11:04:20,11:05:20,0,0
Vehicle1,8,07/02/2012,11:05:21,11:06:21,1,0
Vehicle2,6,07/02/2012,11:07:52,11:08:52,9,1
Vehicle2,6,07/02/2012,11:08:53,11:09:53,0,0
Vehicle2,6,07/02/2012,11:09:54,11:10:54,0,1
Vehicle1,9,07/02/2012,11:10:39,11:11:39,26,0
Vehicle2,6,07/02/2012,11:10:55,11:11:55,0,0
Vehicle1,9,07/02/2012,11:11:40,11:12:40,0,1
Vehicle1,9,07/02/2012,11:12:41,11:13:41,1,1
Vehicle2,7,07/02/2012,11:16:28,11:17:28,15,0
Vehicle1,10,07/02/2012,11:17:28,11:18:28,37,0
Vehicle2,7,07/02/2012,11:17:29,11:18:29,0,0
Vehicle1,10,07/02/2012,11:18:29,11:19:29,1,1
Vehicle1,10,07/02/2012,11:19:30,11:20:30,0,0
Vehicle1,10,07/02/2012,11:20:31,11:21:31,1,0
Vehicle1,10,07/02/2012,11:21:32,11:22:32,0,3
Vehicle2,8,07/02/2012,11:22:56,11:23:56,9,0
Vehicle2,8,07/02/2012,11:23:57,11:24:57,0,1
Vehicle1,11,07/02/2012,11:25:51,11:26:51,23,0
Vehicle1,11,07/02/2012,11:26:52,11:27:52,3,2
Vehicle2,9,07/02/2012,11:29:14,11:30:14,4,0
Vehicle2,9,07/02/2012,11:30:15,11:31:15,0,1
Vehicle2,9,07/02/2012,11:31:16,11:32:16,2,1
Vehicle1,11,07/02/2012,11:26:52,11:32:36,3,2
Vehicle1,11,07/02/2012,11:26:52,11:32:37,3,2
Vehicle1,11,07/02/2012,11:26:52,11:36:54,3,2
Vehicle2,10,07/02/2012,11:36:09,11:37:09,10,0
Vehicle1,1,07/02/2012,11:36:55,11:37:55,24,0
Vehicle1,1,07/02/2012,11:37:56,11:38:56,0,1
Vehicle2,11,07/02/2012,11:40:29,11:41:29,6,1
Vehicle1,2,07/02/2012,11:41:48,11:42:48,32,0
Vehicle1,2,07/02/2012,11:42:49,11:43:49,0,0
Vehicle1,3,07/02/2012,11:45:19,11:46:19,23,0
Vehicle2,11,07/02/2012,11:40:29,11:46:19,6,1
Vehicle2,11,07/02/2012,11:40:29,11:46:20,6,1
Vehicle1,4,07/02/2012,11:48:26,11:49:26,26,0
Vehicle1,4,07/02/2012,11:49:27,11:50:27,0,0
Vehicle2,11,07/02/2012,11:40:29,11:50:41,6,1
Vehicle2,1,07/02/2012,11:50:42,11:51:42,4,0
Vehicle2,2,07/02/2012,11:54:27,11:55:27,10,0
Vehicle2,2,07/02/2012,11:55:28,11:56:28,0,0
Vehicle2,3,07/02/2012,11:57:56,11:58:56,5,2
Vehicle1,5,07/02/2012,11:58:31,11:59:31,28,0
Vehicle2,4,07/02/2012,12:00:32,12:01:32,2,1
Vehicle1,6,07/02/2012,12:02:46,12:03:46,19,0
Vehicle1,7,07/02/2012,12:08:12,12:09:12,29,0
Vehicle1,7,07/02/2012,12:09:13,12:10:13,0,2
Vehicle2,5,07/02/2012,12:09:32,12:10:32,2,0
Vehicle1,7,07/02/2012,12:10:14,12:11:14,1,0
Vehicle2,5,07/02/2012,12:10:33,12:11:33,0,1
Vehicle2,5,07/02/2012,12:11:34,12:12:34,0,1
Vehicle2,5,07/02/2012,12:12:35,12:13:35,0,0
Vehicle1,8,07/02/2012,12:15:33,12:16:33,27,0
Vehicle1,8,07/02/2012,12:16:34,12:17:34,2,0
Vehicle2,6,07/02/2012,12:16:43,12:17:43,7,1
Vehicle1,8,07/02/2012,12:17:35,12:18:35,1,1
Vehicle2,7,07/02/2012,12:22:09,12:23:09,10,1
Vehicle1,9,07/02/2012,12:22:42,12:23:42,29,0
Vehicle2,7,07/02/2012,12:23:10,12:24:10,1,0
Vehicle1,9,07/02/2012,12:23:43,12:24:43,1,2
Vehicle1,9,07/02/2012,12:24:44,12:25:44,0,0
Vehicle2,8,07/02/2012,12:28:39,12:29:39,3,0
Vehicle1,10,07/02/2012,12:29:28,12:30:28,33,0
Vehicle2,8,07/02/2012,12:29:40,12:30:40,0,1
Vehicle1,10,07/02/2012,12:30:29,12:31:29,0,0
Vehicle2,8,07/02/2012,12:30:41,12:31:41,0,0
Vehicle1,11,07/02/2012,12:34:41,12:35:41,24,0
Vehicle2,9,07/02/2012,12:35:51,12:36:51,6,0
Vehicle1,11,07/02/2012,12:34:41,12:40:14,24,0
Vehicle2,10,07/02/2012,12:40:28,12:41:28,6,1
Vehicle1,11,07/02/2012,12:34:41,12:44:35,24,0
Vehicle1,11,07/02/2012,12:34:41,12:44:36,24,0
Vehicle2,11,07/02/2012,12:44:43,12:45:43,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:27,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:28,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:29,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:30,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:31,5,0
Vehicle2,11,07/02/2012,12:44:43,12:50:32,5,0
Vehicle2,11,07/02/2012,12:44:43,12:54:49,5,0
Vehicle2,11,07/02/2012,12:44:43,12:54:50,5,0
Vehicle2,11,07/02/2012,12:44:43,12:54:51,5,0
Vehicle3,2,07/02/2012,16:36:51,16:37:51,137,0
Vehicle3,3,07/02/2012,16:39:12,16:40:12,142,0
Vehicle3,3,07/02/2012,16:40:13,16:41:13,23,0
Vehicle3,4,07/02/2012,16:43:22,16:44:22,138,1
Vehicle4,1,07/02/2012,16:49:01,16:50:01,148,0
Vehicle3,5,07/02/2012,16:52:28,16:53:28,106,0
Vehicle4,2,07/02/2012,16:52:50,16:53:50,11,1
Vehicle4,2,07/02/2012,16:53:51,16:54:51,1,1
Vehicle4,3,07/02/2012,16:56:15,16:57:15,8,2
Vehicle3,6,07/02/2012,16:56:30,16:57:30,150,0
Vehicle3,6,07/02/2012,16:57:31,16:58:31,0,0
Vehicle3,6,07/02/2012,16:58:32,16:59:32,0,0
Vehicle4,4,07/02/2012,16:59:25,17:00:25,9,2
Vehicle4,4,07/02/2012,17:00:26,17:01:26,0,1
Vehicle3,7,07/02/2012,17:04:02,17:05:02,142,0
Vehicle4,5,07/02/2012,17:09:28,17:10:28,6,0
Vehicle3,8,07/02/2012,17:09:30,17:10:30,147,1
Vehicle3,8,07/02/2012,17:10:31,17:11:31,0,4
Vehicle3,8,07/02/2012,17:11:32,17:12:32,0,1
Vehicle4,6,07/02/2012,17:13:30,17:14:30,7,0
Vehicle4,6,07/02/2012,17:14:31,17:15:31,0,0
Vehicle4,6,07/02/2012,17:15:32,17:16:32,0,1
Vehicle4,6,07/02/2012,17:16:33,17:17:33,2,1
Vehicle3,9,07/02/2012,17:16:46,17:17:46,150,0
Vehicle4,6,07/02/2012,17:17:34,17:18:34,0,0
Vehicle3,10,07/02/2012,17:21:36,17:22:36,153,1
Vehicle3,10,07/02/2012,17:22:37,17:23:37,0,0
Vehicle4,7,07/02/2012,17:23:05,17:24:05,6,1
Vehicle3,10,07/02/2012,17:23:38,17:24:38,0,1
Vehicle3,10,07/02/2012,17:24:39,17:25:39,0,0
Vehicle4,8,07/02/2012,17:28:25,17:29:25,13,1
Vehicle3,11,07/02/2012,17:28:39,17:29:39,145,0
Vehicle4,8,07/02/2012,17:29:26,17:30:26,0,0
Vehicle4,8,07/02/2012,17:30:27,17:31:27,0,0
Vehicle3,11,07/02/2012,17:28:39,17:34:10,145,0
Vehicle3,11,07/02/2012,17:28:39,17:34:11,145,0
Vehicle4,9,07/02/2012,17:35:35,17:36:35,10,0
Vehicle3,11,07/02/2012,17:28:39,17:38:32,145,0
Vehicle3,11,07/02/2012,17:28:39,17:38:33,145,0
Vehicle3,1,07/02/2012,17:38:34,17:39:34,24,0
Vehicle3,1,07/02/2012,17:39:35,17:40:35,0,0
Vehicle4,10,07/02/2012,17:40:26,17:41:26,2,3
Vehicle3,1,07/02/2012,17:40:36,17:41:36,4,1
Vehicle4,10,07/02/2012,17:41:27,17:42:27,0,0
Vehicle3,1,07/02/2012,17:41:37,17:42:37,0,0
Vehicle3,2,07/02/2012,17:45:25,17:46:25,33,1
Vehicle4,11,07/02/2012,17:45:40,17:46:40,9,0
Vehicle3,3,07/02/2012,17:47:51,17:48:51,57,0
Vehicle4,11,07/02/2012,17:45:40,17:51:05,9,0
Vehicle4,11,07/02/2012,17:45:40,17:51:06,9,0
Vehicle3,4,07/02/2012,17:50:39,17:51:39,20,1
Vehicle4,11,07/02/2012,17:45:40,17:55:28,9,0
Vehicle4,11,07/02/2012,17:45:40,17:55:29,9,0
Vehicle4,11,07/02/2012,17:45:40,17:55:30,9,0
Vehicle4,1,07/02/2012,17:55:31,17:56:31,11,0
Vehicle4,2,07/02/2012,17:59:09,18:00:09,3,0
Vehicle3,5,07/02/2012,17:59:37,18:00:37,28,0
Vehicle3,5,07/02/2012,18:00:38,18:01:38,2,1
Vehicle4,3,07/02/2012,18:01:38,18:02:38,20,0
Vehicle3,5,07/02/2012,18:01:39,18:02:39,0,1
Vehicle3,5,07/02/2012,18:02:40,18:03:40,0,0
Vehicle3,5,07/02/2012,18:03:41,18:04:41,0,0
Vehicle3,5,07/02/2012,18:04:42,18:05:42,2,0
Vehicle4,4,07/02/2012,18:04:46,18:05:46,3,1
Vehicle4,4,07/02/2012,18:05:47,18:06:47,2,0
Vehicle4,4,07/02/2012,18:06:48,18:07:48,0,1
Vehicle4,4,07/02/2012,18:07:49,18:08:49,1,0
Vehicle3,6,07/02/2012,18:08:52,18:09:52,25,1
Vehicle3,6,07/02/2012,18:09:53,18:10:53,0,0
Vehicle3,7,07/02/2012,18:15:16,18:16:16,27,0
Vehicle4,5,07/02/2012,18:16:48,18:17:48,7,2
Vehicle4,5,07/02/2012,18:17:49,18:18:49,0,1
Vehicle4,5,07/02/2012,18:18:50,18:19:50,0,1
Vehicle4,5,07/02/2012,18:19:51,18:20:51,2,0
Vehicle3,8,07/02/2012,18:20:48,18:21:48,22,0
Vehicle4,5,07/02/2012,18:20:52,18:21:52,1,2
Vehicle3,8,07/02/2012,18:21:49,18:22:49,2,0
Vehicle4,5,07/02/2012,18:21:53,18:22:53,0,1
Vehicle4,5,07/02/2012,18:22:54,18:23:54,1,0
Vehicle4,5,07/02/2012,18:23:55,18:24:55,1,1
Vehicle3,9,07/02/2012,18:27:02,18:28:02,18,0
Vehicle4,6,07/02/2012,18:28:02,18:29:02,14,0
Vehicle4,6,07/02/2012,18:29:03,18:30:03,0,3
Vehicle4,6,07/02/2012,18:30:04,18:31:04,0,1
Vehicle4,6,07/02/2012,18:31:05,18:32:05,0,0
Vehicle3,10,07/02/2012,18:31:38,18:32:38,18,0
Vehicle3,11,07/02/2012,18:35:51,18:36:51,29,2
Vehicle4,7,07/02/2012,18:36:36,18:37:36,6,2
Vehicle3,11,07/02/2012,18:36:52,18:37:52,0,1
Vehicle4,7,07/02/2012,18:37:37,18:38:37,0,0
Vehicle4,7,07/02/2012,18:38:38,18:39:38,0,0
Vehicle4,7,07/02/2012,18:39:39,18:40:39,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:37,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:38,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:39,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:40,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:41,0,1
Vehicle3,11,07/02/2012,18:36:52,18:42:42,0,1
Vehicle4,8,07/02/2012,18:45:12,18:46:12,9,0
Vehicle3,11,07/02/2012,18:36:52,18:46:53,0,1
Vehicle3,11,07/02/2012,18:36:52,18:46:54,0,1
Vehicle3,1,07/02/2012,18:46:55,18:47:55,46,0
Vehicle3,1,07/02/2012,18:47:56,18:48:56,1,1
Vehicle3,1,07/02/2012,18:48:57,18:49:57,0,0
Vehicle4,9,07/02/2012,18:50:04,18:51:04,11,3
Vehicle3,2,07/02/2012,18:52:44,18:53:44,34,0
Vehicle3,2,07/02/2012,18:53:45,18:54:45,1,1
Vehicle3,2,07/02/2012,18:54:46,18:55:46,0,0
Vehicle4,10,07/02/2012,18:54:56,18:55:56,12,0
Vehicle3,2,07/02/2012,18:55:47,18:56:47,0,0
Vehicle4,10,07/02/2012,18:55:57,18:56:57,0,0
Vehicle4,10,07/02/2012,18:56:58,18:57:58,1,1
Vehicle4,10,07/02/2012,18:57:59,18:58:59,1,0
Vehicle3,3,07/02/2012,18:58:16,18:59:16,59,0
Vehicle4,10,07/02/2012,18:59:00,19:00:00,1,0
Vehicle3,3,07/02/2012,18:59:17,19:00:17,1,0
Vehicle3,3,07/02/2012,19:00:18,19:01:18,0,0
Vehicle3,3,07/02/2012,19:01:19,19:02:19,0,1
Vehicle4,11,07/02/2012,19:03:06,19:04:06,13,0
Vehicle3,4,07/02/2012,19:04:27,19:05:27,33,0
Vehicle3,4,07/02/2012,19:05:28,19:06:28,0,0
Vehicle3,4,07/02/2012,19:06:29,19:07:29,0,0
Vehicle3,4,07/02/2012,19:07:30,19:08:30,0,0
Vehicle4,11,07/02/2012,19:03:06,19:08:50,13,0
Vehicle4,11,07/02/2012,19:03:06,19:08:51,13,0
Vehicle3,4,07/02/2012,19:08:31,19:09:31,0,2
Vehicle4,11,07/02/2012,19:03:06,19:13:13,13,0
Vehicle4,11,07/02/2012,19:03:06,19:13:14,13,0
Vehicle4,1,07/02/2012,19:13:15,19:14:15,25,1
Vehicle4,2,07/02/2012,19:17:02,19:18:02,10,0
Vehicle3,5,07/02/2012,19:17:38,19:18:38,37,0
Vehicle4,2,07/02/2012,19:18:03,19:19:03,0,0
Vehicle4,2,07/02/2012,19:19:04,19:20:04,1,1
Vehicle4,2,07/02/2012,19:20:05,19:21:05,1,1
Vehicle3,6,07/02/2012,19:21:45,19:22:45,21,0
Vehicle4,3,07/02/2012,19:22:32,19:23:32,14,0
Vehicle4,4,07/02/2012,19:25:40,19:26:40,9,1
Vehicle4,4,07/02/2012,19:26:41,19:27:41,0,0
Vehicle3,7,07/02/2012,19:27:18,19:28:18,28,1
Vehicle4,4,07/02/2012,19:27:42,19:28:42,0,0
Vehicle3,7,07/02/2012,19:28:19,19:29:19,0,1
Vehicle4,4,07/02/2012,19:28:43,19:29:43,0,0
Vehicle4,4,07/02/2012,19:29:44,19:30:44,2,0
Vehicle3,8,07/02/2012,19:33:57,19:34:57,29,0
Vehicle5,1,07/02/2012,19:34:01,19:35:01,12,1
Vehicle5,1,07/02/2012,19:35:02,19:36:02,0,0
Vehicle5,1,07/02/2012,19:36:03,19:37:03,1,0
Vehicle5,1,07/02/2012,19:37:04,19:38:04,3,1
Vehicle5,1,07/02/2012,19:38:05,19:39:05,0,0
Vehicle4,5,07/02/2012,19:38:39,19:39:39,13,0
Vehicle5,1,07/02/2012,19:39:06,19:40:06,1,1
Vehicle3,9,07/02/2012,19:39:10,19:40:10,15,2
Vehicle4,5,07/02/2012,19:39:40,19:40:40,0,0
Vehicle5,2,07/02/2012,19:42:52,19:43:52,10,0
Vehicle4,6,07/02/2012,19:43:49,19:44:49,14,2
Vehicle5,2,07/02/2012,19:43:53,19:44:53,0,0
Vehicle3,10,07/02/2012,19:43:59,19:44:59,21,1
Vehicle4,6,07/02/2012,19:44:50,19:45:50,1,2
Vehicle3,10,07/02/2012,19:45:00,19:46:00,2,0
Vehicle4,6,07/02/2012,19:45:51,19:46:51,0,0
Vehicle3,10,07/02/2012,19:46:01,19:47:01,0,0
Vehicle5,3,07/02/2012,19:46:19,19:47:19,32,0
Vehicle5,3,07/02/2012,19:47:20,19:48:20,1,0
Vehicle5,3,07/02/2012,19:48:21,19:49:21,0,1
Vehicle5,3,07/02/2012,19:49:22,19:50:22,1,4
Vehicle3,11,07/02/2012,19:50:09,19:51:09,16,0
Vehicle5,3,07/02/2012,19:50:23,19:51:23,1,0
Vehicle4,7,07/02/2012,19:51:19,19:52:19,13,0
Vehicle4,7,07/02/2012,19:52:20,19:53:20,0,0
Vehicle4,7,07/02/2012,19:53:21,19:54:21,0,1
Vehicle5,4,07/02/2012,19:53:27,19:54:27,11,0
Vehicle4,7,07/02/2012,19:54:22,19:55:22,1,1
Vehicle3,11,07/02/2012,19:50:09,19:55:50,16,0
Vehicle3,11,07/02/2012,19:50:09,19:55:51,16,0
Vehicle3,11,07/02/2012,19:50:09,19:55:52,16,0
Vehicle3,11,07/02/2012,19:50:09,20:00:11,16,0
Vehicle3,11,07/02/2012,19:50:09,20:00:12,16,0
Vehicle3,11,07/02/2012,19:50:09,20:00:13,16,0
Vehicle4,8,07/02/2012,19:59:54,20:00:54,17,1
Vehicle3,1,07/02/2012,20:00:14,20:01:14,6,1
Vehicle3,1,07/02/2012,20:01:15,20:02:15,0,1
Vehicle3,1,07/02/2012,20:02:16,20:03:16,0,0
Vehicle5,5,07/02/2012,20:02:31,20:03:31,15,0
Vehicle3,1,07/02/2012,20:03:17,20:04:17,0,0
Vehicle5,5,07/02/2012,20:03:32,20:04:32,1,0
Vehicle3,1,07/02/2012,20:04:18,20:05:18,1,0
Vehicle4,9,07/02/2012,20:05:09,20:06:09,6,1
Vehicle4,9,07/02/2012,20:06:10,20:07:10,0,0
Vehicle4,9,07/02/2012,20:07:11,20:08:11,0,0
Vehicle5,6,07/02/2012,20:07:31,20:08:31,9,0
Vehicle3,2,07/02/2012,20:07:41,20:08:41,15,0
Vehicle3,2,07/02/2012,20:08:42,20:09:42,0,0
Vehicle3,2,07/02/2012,20:09:43,20:10:43,1,1
Vehicle4,10,07/02/2012,20:11:59,20:12:59,12,0
Vehicle3,3,07/02/2012,20:12:09,20:13:09,9,0
Vehicle4,10,07/02/2012,20:13:00,20:14:00,2,0
Vehicle5,7,07/02/2012,20:13:03,20:14:03,7,0
Vehicle3,3,07/02/2012,20:13:10,20:14:10,2,0
Vehicle4,10,07/02/2012,20:14:01,20:15:01,1,0
Vehicle5,7,07/02/2012,20:14:04,20:15:04,0,2
Vehicle3,3,07/02/2012,20:14:11,20:15:11,0,0
Vehicle4,10,07/02/2012,20:15:02,20:16:02,0,0
Vehicle3,3,07/02/2012,20:15:12,20:16:12,1,2
Vehicle4,10,07/02/2012,20:16:03,20:17:03,0,0
